Upregulated,Downregulated
4930599N23Rik,2310022B05Rik
AA467197,2510042H12Rik
Adamts4,Abcc3
Adora2b,Acss1
Akap12,Add3
Aldoa,Ahnak
Angpt2,Ahsp
Angptl4,Alas2
Antxr2,Ank
Arg1,Atp2a3
Arg2,Bnip3l
Arrdc4,Cbfa2t3
Ass1,Cd209b
Avpr1a,Cdc25b
Batf,Ckb
Batf2,Clec4g
Bcl3,Crip2
Bhlhe40,Cx3cr1
Bst2,Dbp
Car13,Dmpk
Casp4,E2f2
Ccdc86,Epb4.1
Ccl11,Fam78a
Ccl2,Fcgrt
Ccl3,Fcna
Ccl4,Gdf10
Ccl7,Glo1
Ccrl2,Gucy1a3
Cd14,Hbb-bs
Cd274,Hebp1
Cd69,Ift140
Cd80,Igfbp4
Cdc42ep2,Igfbp5
Cdkn1a,Itgad
Cebpb,Limch1
Cfb,March2
Ch25h,Mrc1
Clec4d,Nrm
Clec4e,Pcdh12
Col4a1,Pisd-ps1
Col4a2,Prelp
Cp,Ptp4a3
Creld2,Rbm38
Crem,Reln
Csrnp1,Rims3
Cstb,Rnf10
Ctgf,Slc25a37
Cxcl1,Slc40a1
Cxcl10,Slc46a3
Cxcl16,Slc48a1
Cxcl2,Slc4a1
Cxcl9,Slco2b1
Daxx,Spon2
Ddx3y,Srsf5
Dram1,St5
Dtx3l,St6galnac3
Dusp1,Stab2
Dusp16,Tbcel
Ebi3,Tcf21
Edn1,Timp2
Egr1,Tmc6
Ehd1,Trf
Eif2ak2,Ube2o
Emp1,Xist
Enc1,Ypel3
Errfi1,
Ets2,
F10,
Fam129b,
Fam26f,
Fas,
Fcer1g,
Fcgr4,
Fkbp1a,
Fos,
Fosl2,
Fpr2,
Furin,
G0s2,
Gadd45b,
Gas7,
Gbp2,
Gbp3,
Gbp5,
Gbp7,
Gja4,
Glipr2,
Glrx,
Gm4951,
Gm5483,
Gng12,
Gpnmb,
Gpr171,
Gpr35,
Gpr84,
Gvin1,
Hcar2,
Hdc,
Hilpda,
Hspb8,
Icam1,
Ier3,
Ifi47,
Ifitm1,
Ifitm2,
Ifitm3,
Ifng,
Igtp,
Ikbke,
Il10,
Il12a,
Il1a,
Il1b,
Il1r2,
Il1rn,
Il33,
Insl6,
Irak2,
Irak3,
Irf1,
Irf7,
Irgm1,
Irgm2,
Itga5,
Junb,
Lacc1,
Litaf,
Lox,
Ly6a,
Ly6c1,
Maged1,
Man2a1,
Mapkapk2,
Marcksl1,
Mefv,
Mfsd7a,
Mif,
Mlkl,
Mmp13,
Mmp14,
Mmp3,
Mrgpra2b,
Mrgpra7,
Ms4a6d,
Msrb1,
Mt1,
Mvp,
Mxd1,
Myd88,
Ndrg1,
Nfkbia,
Nfkbiz,
Nos2,
Ntng2,
Nus1,
Oas1g,
Oas2,
Oasl1,
Oasl2,
Osm,
Pdgfa,
Pdpn,
Per1,
Pex11a,
Pfkl,
Phf11d,
Phlda1,
Pla1a,
Plaur,
Plin2,
Plk3,
Plod3,
Por,
Ppa1,
Prdx5,
Psmb1,
Psmb10,
Psmb9,
Psme1,
Ptges,
Rab32,
Ramp3,
Rgs16,
Rhoc,
Rrbp1,
Saa3,
Samhd1,
Samsn1,
Schip1,
Sct,
Sdc4,
Sema3f,
Serpina3b,
Serpina3f,
Serpina3g,
Serpina3n,
Serpinh1,
Sh3pxd2b,
Slamf9,
Slc11a1,
Slc15a3,
Slc2a1,
Slc2a6,
Slc7a11,
Slc7a2,
Slco3a1,
Slfn1,
Smpdl3b,
Snx10,
Snx20,
Socs3,
Sod2,
Sp140,
Spp1,
Tap2,
Tgm2,
Thbs1,
Timp1,
Timp3,
Tlr2,
Tlr6,
Tmem2,
Tnf,
Tnfaip2,
Tnfaip3,
Tnfrsf12a,
Tnip1,
Tpi1,
Traf1,
Trafd1,
Trem1,
Trex1,
Trim30d,
Tubb6,
Ubd,
Upp1,
Usp18,
Vdr,
Wars,
Wdr92,
Wfdc17,
Xdh,
Zfp36,
