Upregulated,Downregulated
4930599N23Rik,2310022B05Rik
AA467197,2510042H12Rik
Abcc5,4930426D05Rik
Acer3,Abcc3
Acp2,Acss1
Adora2b,Adam23
Aldoa,Ahnak
Angptl4,AI467606
Aoah,Alas2
Arg1,Apoe
Asprv1,Arhgap4
Ass1,Arhgef1
Atf3,Bnip3l
Batf,Camk2n1
Batf2,Ccdc80
Bcl3,Cirbp
Bst2,Clec4g
C1qb,Coch
Car13,Crip2
Casp4,Cx3cr1
Casp7,Cyp27a1
Ccdc86,Dmpk
Ccl2,Esm1
Ccl3,Fcer2a
Ccl4,Fcgrt
Ccl7,Fcna
Ccl9,Fcrla
Ccrl2,Gas6
Cd14,Gdf10
Cd274,Gja1
Cdc42ep2,Gm4671
Cdkn1a,Gng10
Cebpb,H2-Ke6
Cfb,Hcst
Ch25h,Hmha1
Chil3,Igfbp5
Clcn7,Itgad
Clec4a1,Klf2
Clec4d,Ldb1
Clec4e,Limch1
Cnih4,Lrmp
Col4a1,Ltbp4
Cp,Lynx1
Creld2,Mef2c
Cst7,Mrc1
Cstb,Mum1
Ctsc,Myl4
Cxcl1,Nrep
Cxcl10,Nrm
Cxcl16,Pcdh12
Cxcl2,Prelp
Cxcl9,Ptp4a3
Ddhd1,Rasa3
Dhx58,Rims3
Dram1,Sft2d2
Dtx3l,Siglecg
Dusp1,Slc12a2
Dusp16,Slc40a1
Ebi3,Slc46a3
Edn1,Slc4a1
Ehd1,Slc9a3r2
Eif2ak2,Smim14
Enc1,Spon2
Enpp4,Srpk3
Errfi1,Sspn
F10,Stbd1
F7,Swap70
Fam26f,Tcf21
Fas,Timp2
Fblim1,Tmem204
Fbxl5,Tnxb
Fcer1g,Trf
Fcgr3,Vpreb3
Fcgr4,Ypel3
Ffar2,
Fosl2,
Fpr2,
Gas7,
Gbp10,
Gbp2,
Gbp2b,
Gbp3,
Gbp5,
Gbp7,
Gdf15,
Glipr2,
Glrx,
Gm4951,
Gm5483,
Gng12,
Gp49a,
Gpnmb,
Gpr31b,
Gpr84,
Gvin1,
Hcar2,
Hdc,
Hilpda,
Hk3,
Hmox1,
Hp,
Icam1,
Ier3,
Ifi47,
Ifit2,
Ifitm1,
Ifitm3,
Ifng,
Igtp,
Ikbke,
Il10,
Il15ra,
Il18,
Il1a,
Il1b,
Il1r2,
Il1rn,
Irak3,
Irf1,
Irf7,
Irgm1,
Irgm2,
Itga5,
Lacc1,
Lcn2,
Lgals3,
Lgals3bp,
Lgmn,
Lilrb4,
Lox,
Luzp1,
Ly6a,
Ly6c1,
Man2a1,
Marco,
Mefv,
Mif,
Mlkl,
Mmp13,
Mmp14,
Mmp3,
Mrap,
Mrgpra2b,
Mrgpra7,
Ms4a6d,
Ms4a7,
Msrb1,
Mt1,
Nfkbiz,
Nr1h3,
Nrg4,
Oas1g,
Oas2,
Oas3,
Oasl1,
Oasl2,
Pdk4,
Pex11a,
Pfkl,
Phf11d,
Pkm,
Pla1a,
Plin2,
Plod3,
Ppa1,
Prdx5,
Psmb1,
Rab32,
Rapgef2,
Rgs1,
Rnf213,
Rrbp1,
Saa3,
Samhd1,
Sap30,
Sco1,
Sct,
Sdc4,
Sdf2l1,
Serpina3f,
Serpina3g,
Serpina3n,
Serping1,
Sh3pxd2b,
Sirpa,
Slamf7,
Slc11a1,
Slc15a3,
Slc2a6,
Slc31a1,
Slc7a11,
Slc7a2,
Slfn1,
Smpdl3b,
Snx10,
Socs3,
Sod2,
Stat1,
Stat2,
Tgm2,
Tgtp1,
Timp1,
Tlr13,
Tlr2,
Tmem106a,
Tmem2,
Tnf,
Tnfaip2,
Tnfaip3,
Tnip1,
Tpi1,
Trafd1,
Trim30d,
Tspo,
Tubb6,
Ubd,
Upp1,
Usp18,
Vmp1,
Wars,
Wfdc17,
Xdh,
