Upregulated,Downregulated
astB,amiA
bioD,argC
cbiH,asrA
eutA,caiF
eutC,carA
eutM,csiE
FQ312003_intergenic_1254940_1254986,cydD
FQ312003_intergenic_2041561_2041744,cysB
FQ312003_intergenic_2338323_2338550,dmsB
FQ312003_intergenic_2425114_2425326,fbp
gltD,flgK
gpF,flhD
hpcC,fliA
ilvA,FQ312003_intergenic_1516737_1517053
ilvD,FQ312003_intergenic_2088168_2088600
leuD,FQ312003_intergenic_2438830_2439660
livH,FQ312003_intergenic_2445366_2445604
nanA,FQ312003_intergenic_2786753_2786970
narZ,FQ312003_intergenic_2893776_2894391
phoB,FQ312003_intergenic_2969504_2969750
pqaB,FQ312003_intergenic_3141720_3142183
rplC,FQ312003_intergenic_3241553_3241651
SL0992,FQ312003_intergenic_3858730_3859000
SL1075,FQ312003_intergenic_4146761_4147078
SL1304,FQ312003_intergenic_4479943_4480012
SL1972,FQ312003_intergenic_4715325_4715428
SL2211,FQ312003_intergenic_528290_528684
SL3673A,garD
SL3882,gcvA
SL4015,gpmB
SL4360,gshB
SLP1_0049,gtrB
SLP1_0064,hilC
SLP1_0075,kdsB
ssaS,lasT
sscA,lipB
traM,marA
,marR
,mdoC
,minC
,mltB
,mtlR
,nlpC
,nrdD
,pabA
,pldA
,plsB
,pykF
,pyrD
,recN
,rhuM
,rluB
,rnt
,rob
,sipD
,SL0084
,SL0415
,SL0640
,SL0757
,SL0847
,SL0908
,SL1187
,SL1259
,SL1315
,SL1431
,SL1457
,SL1506
,SL1583
,SL1652
,SL1713
,SL1726
,SL1988
,SL2283
,SL2457
,SL2507
,SL2537
,SL2738
,SL3035
,SL3069
,SL3096
,SL3137
,SL3141
,SL3205
,SL3297
,SL3372
,SL3483
,SL3586
,SL3750
,SL3980
,SL4139
,SL4440
,SL4441
,SL4446
,SL4447
,SL4460
,SL4501
,SL4502
,SLP1_0060
,sopA
,sopE2
,trpH
,yaeA
,yajB
,ybiH
,yehW
,yeiR
,yfeC
,yfeD
,ygaC
,yhjS
,yjeK
