Upregulated,Downregulated
Creld2,Clec4g
Edn1,Mrc1
Hspb8,Slc40a1
Irf7,Slc4a1
Maged1,Tcf21
Mif,
Pex11a,
Pfkl,
Por,
Sct,
Serpina3n,
Xdh,
