Upregulated,Downregulated
4930599N23Rik,Ahnak
Acer3,Arhgef1
Adora2b,Fcrla
Arg1,Gm4671
Bcl3,Hmha1
Bst2,Lrmp
Casp7,Mum1
Ccdc86,Ptp4a3
Cdc42ep2,Rasa3
Chil3,Siglecg
Cnih4,Slc9a3r2
Ctsc,Smim14
Dtx3l,Srpk3
Ehd1,
Fcer1g,
Fcgr3,
Fosl2,
Glipr2,
Gm5483,
Gp49a,
Gpr31b,
Hdc,
Hp,
Il1a,
Irf1,
Lgals3bp,
Lgmn,
Man2a1,
Mmp13,
Oas3,
Rgs1,
Sap30,
Sh3pxd2b,
Slc31a1,
Slc7a2,
Stat1,
Trim30d,
