Upregulated,Downregulated
AA467197,2310022B05Rik
Abcc5,2510042H12Rik
Adora2b,Adam23
Arg1,Alas2
Ass1,Apol7c
Batf2,Arl4c
Bst2,Atp2a3
Car13,Cirbp
Ccl2,Cx3cr1
Ccl3,Dbp
Ccl4,Emp3
Ccl7,Esm1
Ccl9,Fcer2a
Ccrl2,Fcna
Cd14,Gdf10
Cdkn1a,Gng10
Cebpb,Gucy1a3
Cfb,Hcst
Ch25h,Igfbp5
Clcn7,Ltbp4
Clec4d,Nrm
Cp,Slc46a3
Cst7,Timp2
Cstb,Tnxb
Ctsc,Trf
Cxcl1,
Cxcl2,
Cxcl9,
Ddhd1,
Dram1,
Dusp1,
Dusp16,
Ebi3,
Enc1,
F10,
F7,
Fam26f,
Fas,
Fblim1,
Fbxl5,
Fcgr3,
Fcgr4,
Fos,
Fosl2,
Gas7,
Gbp2,
Gbp2b,
Gbp5,
Gbp7,
Gdf15,
Glipr2,
Glrx,
Gm4951,
Gng12,
Gpnmb,
Gpr84,
Hilpda,
Hk3,
Hmox1,
Hsd3b7,
Ier3,
Ifng,
Igtp,
Ikbke,
Il10,
Il1b,
Il1r2,
Il1rn,
Irak3,
Irgm1,
Itga5,
Lacc1,
Lgals3,
Lox,
Luzp1,
Man2a1,
Mefv,
Mlkl,
Mmp13,
Mmp14,
Mmp3,
Mrgpra7,
Ms4a6d,
Mt1,
Nfkbiz,
Nrg4,
Oas1g,
Oasl1,
Pkm,
Pla1a,
Plin2,
Prdx5,
Psmb1,
Rab32,
Rarres2,
Saa3,
Samhd1,
Serpina3f,
Sh3pxd2b,
Slamf7,
Slc11a1,
Slc15a3,
Slc2a6,
Slc31a1,
Slc7a11,
Slc7a2,
Smpdl3b,
Snx10,
Socs3,
Sod2,
Tgm2,
Timp1,
Tlr2,
Tmem2,
Tnf,
Tnfaip2,
Tnfaip3,
Tnip1,
Tpi1,
Ubd,
Upp1,
Wars,
Wfdc17,
