Upregulated,Downregulated
C4a,Apoe
C4b,Ccdc80
Ctsz,Coch
Cyp2d22,Col14a1
Dnah2,Csf1r
Fkbp5,Fam65b
Mrap,Fcrla
Pdk4,Fdps
Prf1,Fhl1
Susd2,Fn1
Tmem119,Gja1
,Hhex
,Hpgd
,Mycl
,Nrep
,Rn18s
,Sepp1
,Sh3kbp1
,Sirpb1a
,Treml4
