Upregulated,Downregulated
Plscr1,Trf
Ppa1,Trib2
Ppp1r3b,Trim39
Ppp2cb,Tshz1
Prdx5,Txnip
Prok2,Ube2o
Psma5,Usp10
Psma7,Vav2
Psmb1,Wasf2
Psmb2,Wipf1
Psmb7,Xkrx
Psme1,Ywhab
Ptges,Ywhaz
Rab15,Zbtb20
Ramp3,Zc3h12d
Rbms1,Zer1
Rdh12,Zfp263
Retnlg,Zfp318
Rgs1,Zfp36l1
Rgs16,Zxda
Rhoc,
Rhou,
Rnf213,
Rps27a,
Rrbp1,
Rtn3,
S100a8,
Saa3,
Samhd1,
Samsn1,
Sap30,
Scamp1,
Sct,
Sdc4,
Sdcbp,
Sdf2l1,
Selp,
Sema4a,
Sepn1,
Serpina3b,
Serpina3f,
Serpina3g,
Serpina3n,
Serping1,
Serpinh1,
Sgms2,
Sh3pxd2b,
Slamf9,
Slc11a1,
Slc15a3,
Slc25a20,
Slc2a1,
Slc2a6,
Slc31a1,
Slc7a11,
Slc7a2,
Slco3a1,
Slfn1,
Smpdl3b,
Snrpd1,
Snx10,
Snx18,
Socs3,
Sod2,
Sparc,
Spcs3,
Sphk1,
Spp1,
Sppl2a,
Srm,
Stat1,
Stat3,
Stfa1,
Stfa2,
Tbc1d2,
Tdrd7,
Tgm2,
Thbs1,
Timp1,
Timp3,
Tinagl1,
Tlr2,
Tlr6,
Tmbim4,
Tmed7,
Tmem2,
Tmem248,
Tmem33,
Tmem38b,
Tnf,
Tnfaip2,
Tnfaip3,
Tnfrsf12a,
Tnfrsf21,
Tnip1,
Tpi1,
Trem1,
Trem3,
Trex1,
Trim30d,
Tspo,
Ttc39b,
Ubd,
Uck2,
Upp1,
Usp18,
Vdr,
Vim,
Vmp1,
Wars,
Wdr92,
Wfdc17,
Xdh,
Zfp36,
