Datasets compared,Number of DE proteins
Group 1 vs Group 2,Total: 518
,Up-regulated: 68
,Down-regulated: 450
Group 1 vs Group 3,Total: 1507
,Up-regulated: 37
,Down-regulated: 1020
Group 2 vs Group 3,Total: 830
,Up-regulated: 147
,Down-regulated: 683
