Upregulated,Downregulated
Ass1,2510042H12Rik
Batf2,Adam23
C4a,Alas2
C4b,Apoe
Ccl2,Apol7c
Ccl3,Ccdc80
Ccl4,Cirbp
Ccl7,Clec4g
Ccrl2,Coch
Cd14,Col14a1
Cdkn1a,Csf1r
Cebpb,Cx3cr1
Cfb,Dbp
Clcn7,Fam65b
Clec4d,Fcer2a
Cp,Fcna
Creld2,Fcrla
Cst7,Fdps
Cstb,Fhl1
Ctsz,Fn1
Cxcl1,Gdf10
Cxcl2,Gja1
Cxcl9,Gng10
Cyp2d22,Hcst
Dnah2,Hhex
Dusp1,Hpgd
Dusp16,Igfbp5
Edn1,Ltbp4
Enc1,Mrc1
F10,Mycl
Fam26f,Nrep
Fblim1,Nrm
Fcgr4,Rn18s
Fkbp5,Sepp1
Gas7,Sh3kbp1
Gbp2,Sirpb1a
Gbp2b,Slc40a1
Gbp5,Slc46a3
Gbp7,Slc4a1
Gdf15,Tcf21
Gm4951,Treml4
Gpnmb,Trf
Hilpda,
Hk3,
Hsd3b7,
Hspb8,
Ier3,
Ifng,
Igtp,
Ikbke,
Il10,
Il1r2,
Il1rn,
Irak3,
Irf7,
Itga5,
Lacc1,
Lgals3,
Lox,
Luzp1,
Maged1,
Mif,
Mlkl,
Mmp14,
Mmp3,
Mrap,
Mrgpra7,
Mt1,
Nfkbiz,
Oasl1,
Pdk4,
Pex11a,
Pfkl,
Pkm,
Pla1a,
Plin2,
Por,
Prdx5,
Prf1,
Psmb1,
Rarres2,
Saa3,
Sct,
Serpina3f,
Serpina3n,
Slamf7,
Slc11a1,
Slc15a3,
Slc2a6,
Slc7a11,
Smpdl3b,
Snx10,
Socs3,
Sod2,
Susd2,
Tgm2,
Timp1,
Tmem119,
Tmem2,
Tnf,
Tnfaip2,
Tpi1,
Ubd,
Upp1,
Wars,
Xdh,
